566802366452609027	Probe into #Gaza homes strikes finds 60% of deaths non-militants http://t.co/XNm5brNvdn #Israel #ProtectiveEdge http://t.co/BcPCMSlJ4x
566799615043698688	Germany &amp; Sweden check all cars at border with #Denmark in wake of #cphshooting http://t.co/bb4WmMrj6N http://t.co/aOpwhr4JjP
566796648345776128	Second #CopenhagenShooting: Civilian confirmed dead by police http://t.co/bb4WmMIUvn http://t.co/c8hU9zMhvw
566794099978563584	Turkish student killed, burnt after rape attempt, mother says assailants ‘should be tortured’ http://t.co/31TZPFEOg7 http://t.co/Dx37XIa5VB
566789543907450880	Lab rats master trading in foreign exchange, commodity futures markets http://t.co/5hCOiLNFph http://t.co/pX2M53X8CB
566785281307582466	@NASA gets clearest ever views of Earth-like #Titan landscape (PHOTOS) http://t.co/oXvBQAes8i http://t.co/IIvcSTgLii
566780202462609409	#Copenhagen's major street #Gothersgade is empty due to #cphshooting lockdown http://t.co/bb4WmMrj6N pic @JeanPeezy http://t.co/aTaxIxyZRM
566776734419546112	#Copenhagen center on lockdown, barriers expand, people living in area aren’t allowed in http://t.co/bb4WmMIUvn http://t.co/KTvtSiY2zh
566772624144236544	faCopenhagen synagogue shooting: 1 shot in head, 2 police injured, gunman at large http://t.co/GWEeLifz1T http://t.co/dNLWWaLEKG
566767631093727233	#Cphshooting: Police advise people to stay indoors, Copenhagen ‘not safe’ as manhunt continues http://t.co/bb4WmMIUvn http://t.co/8Y3zV7ly4c
566762920147943425	Manhunt underway for synagogue #cphshooting suspect in central #Copenhagen http://t.co/bb4WmMIUvn http://t.co/3Xlunw1THy #CopenhagenShooting
566760973424664576	Helicopter over #Krystalgade , synagogue shooting site in #Copenhagen http://t.co/bb4WmMIUvn (pic by @nikolajthams) http://t.co/AvuU6cQESF
566760054498795521	#CopenhagenShooting DETAILS: 1 shot in head, 2 cops wounded, shooter at large http://t.co/bb4WmMIUvn pic @JeanPeezy http://t.co/69nmmcqEc6
566757929442099201	#CopenhagenShooting: Police on site with automatic weapons, helicopters reported in the air http://t.co/bb4WmMIUvn http://t.co/UOvjXOhOkv
566753774124171266	MORE: Police confirm shooting, area cordoned off http://t.co/bb4WmMIUvn #CopenhagenShooting #cphshooting http://t.co/vUogwLRR8O
